User,UserDir,RecordingID,SeqID,Label,SegStart,SegEnd,SegLen,MissingFrames,PctMissing,LongestConsecutiveMissing
User1,user1,P1_S10_R1,S10,background,0,34,35,0,0.0,0
User1,user1,P1_S10_R1,S10,SMALL,35,122,88,0,0.0,0
User1,user1,P1_S10_R1,S10,background,123,177,55,0,0.0,0
User1,user1,P1_S10_R1,S10,FEBRUARY,178,273,96,0,0.0,0
User1,user1,P1_S10_R1,S10,background,274,308,35,0,0.0,0
User1,user1,P1_S10_R1,S10,BOAT,309,387,79,0,0.0,0
User1,user1,P1_S10_R1,S10,background,388,749,362,0,0.0,0
User1,user1,P1_S10_R2,S10,background,0,47,48,0,0.0,0
User1,user1,P1_S10_R2,S10,SMALL,48,131,84,0,0.0,0
User1,user1,P1_S10_R2,S10,background,132,198,67,0,0.0,0
User1,user1,P1_S10_R2,S10,FEBRUARY,199,293,95,0,0.0,0
User1,user1,P1_S10_R2,S10,background,294,330,37,0,0.0,0
User1,user1,P1_S10_R2,S10,BOAT,331,403,73,11,15.07,11
User1,user1,P1_S10_R2,S10,background,404,749,346,7,2.02,7
User1,user1,P1_S10_R3,S10,background,0,33,34,0,0.0,0
User1,user1,P1_S10_R3,S10,SMALL,34,113,80,0,0.0,0
User1,user1,P1_S10_R3,S10,background,114,176,63,0,0.0,0
User1,user1,P1_S10_R3,S10,FEBRUARY,177,270,94,0,0.0,0
User1,user1,P1_S10_R3,S10,background,271,306,36,0,0.0,0
User1,user1,P1_S10_R3,S10,BOAT,307,384,78,0,0.0,0
User1,user1,P1_S10_R3,S10,background,385,749,365,0,0.0,0
User1,user1,P1_S10_R4,S10,background,0,45,46,0,0.0,0
User1,user1,P1_S10_R4,S10,SMALL,46,126,81,0,0.0,0
User1,user1,P1_S10_R4,S10,background,127,220,94,0,0.0,0
User1,user1,P1_S10_R4,S10,FEBRUARY,221,327,107,0,0.0,0
User1,user1,P1_S10_R4,S10,background,328,370,43,0,0.0,0
User1,user1,P1_S10_R4,S10,BOAT,371,454,84,0,0.0,0
User1,user1,P1_S10_R4,S10,background,455,749,295,0,0.0,0
User1,user1,P1_S10_R5,S10,background,0,15,16,0,0.0,0
User1,user1,P1_S10_R5,S10,SMALL,16,98,83,0,0.0,0
User1,user1,P1_S10_R5,S10,background,99,151,53,0,0.0,0
User1,user1,P1_S10_R5,S10,FEBRUARY,152,254,103,0,0.0,0
User1,user1,P1_S10_R5,S10,background,255,290,36,0,0.0,0
User1,user1,P1_S10_R5,S10,BOAT,291,377,87,0,0.0,0
User1,user1,P1_S10_R5,S10,background,378,749,372,0,0.0,0
User1,user1,P1_S10_R6,S10,background,0,16,17,0,0.0,0
User1,user1,P1_S10_R6,S10,SMALL,17,98,82,0,0.0,0
User1,user1,P1_S10_R6,S10,background,99,155,57,0,0.0,0
